Nom;Code gare;Position Géographique;Localisation;Etat de fonctionnement;hauteur;adressesDNS;dateMiseEnService
ASC.PMR 4504 Quai A;5bb79be5-eeb0-4cbd-8170-5e901d515bab;;Voie 2 / hall;OK;;;
ASC.PMR 5004 Salle d'échange<>Voies 2/4 (GL8);a6433423-9738-42fd-a125-321b28d78e8a;;Salle d'échange<>Voies 2/4 (GL8);OK;;;
ascenseur - Accès St Léon;bd3a55c7-b622-414f-907b-ce379d351038;48.689487, 6.1733956;Souterrain / Accès saint Léon;OK;0.0;;2023-12-08T00:00:00
ASC.PMR 3575 Q.1;d7b29aa7-53bc-48df-9ef0-c6675c410208;;Voie 2 / hall;OK;;;
ascenseur - Côté voie 1  Vers PASSERELLE;45a656a0-6a23-4446-bf6c-34d53d0b7d53;50.415623, 1.6482686;Voie 1 / passerelle;OK;0.0;;2011-05-19T00:00:00
ASC.PMR 2004 Quai 1;81e75eb3-93f1-40a8-92cc-0389d3085d1b;;Quai 1 / passerelle;OK;;;
ASC.PMR 3084 Quai 2;5c7c4cde-f7dc-4f4e-8e59-d4fecb754570;;Voie 2 / souterrain;OK;;;
ASC.PMR 1012 ASA4;b1fb9e27-f0db-46bf-a753-dd21a7e306e3;;Accès rue de l'acqueduc / terrasse médiane;OK;;;
ASC.PMR 4540 Accès Suffren;67cd9ba4-dd5a-4a26-8556-3ab4ec297572;;Hall Suffren;OK;;;
ascenseur - Voies A/B;88ab44f6-65e0-4524-98d3-7d18d06b8b69;46.110554, 5.825597;Voies A et B / souterrain;OK;0.0;;2010-01-01T00:00:00
ascenseur - BV Accès souterrain;3730810c-71aa-49d4-b620-88750e4189dc;47.464424, -0.5574208;Hall / Souterrain;OK;0.0;;2002-01-01T00:00:00
Ascenseur - Voie 2/Souterrain;0c5b9261-4e09-47d6-8247-4f32ec8afc06;48.45158, 1.235186;Voie 2 / Voie 2/Souterrain;OK;0.0;;2009-12-01T00:00:00
ascenseur - Quai n°  2      vers soutterain;eb38b179-61d1-4e6e-ae8b-43cffa478bb0;50.517212, 1.6427808;Voies 1 et 2 / souterrain;OK;0.0;;2011-04-27T00:00:00
ascenseur - voie B;52c9ab7d-bf06-44d8-8bf3-e1de8bdb1470;;Voie B / passerelle;OK;0.0;;2009-07-01T00:00:00
ascenseur - quai 4;dcb849a2-09bd-41d7-8078-847e85c01e12;49.65941, 3.2965329;Voies 2 et 4 / Souterrain;OK;0.0;;2014-05-06T00:00:00
Ascenseur - 19 Asc quai 3;72a31fc3-3b7f-4e0d-823f-ce3a878505de;;Voie 4 et Voie 5 / souterrain PMR;OK;0.0;;2022-12-01T00:00:00
ASC.PMR 4516 Quai B;b4524294-b039-4ac1-8dce-730d1d90132b;;Voies 1 et 3 / salle d'échange;OK;;;
ascenseur - voie A;52c9ab7d-bf06-44d8-8bf3-e1de8bdb1470;;Voie A / passerelle;KO;0.0;;2009-07-01T00:00:00
ascenseur - Quai V4 côté Sud;ded1a773-b7d6-4c70-b9e9-f154e65be849;45.72, 5.07552;Voies 4 et 6 - Repères F à J / Porte Alpes;OK;0.0;;1992-01-01T00:00:00
ASC.PMR 3515 Quai A Passerelle;93b323ac-d440-4e6c-9b71-b8df2fdf6490;;Voie A / passerelle;OK;;;
ASC.PMR 5041 Quai 11/12;e99780a3-3666-432a-8c44-9cc2b59fd769;;Quai 2;OK;;;
Ascenseur - Quai 5 Sud Voies 8/9;876acd6d-c67b-47fd-95ee-f2b13b33508e;43.611423, 1.4545588;Quai 5 Sud;KO;0.0;;2015-10-01T00:00:00
ASC.PMR 2520 voie 1;696c6dcf-c8d7-4617-aeb8-8a3cefc65578;;Quai 1 direction Paris;OK;;;
ascenseur - Quai central voie 2;18c8848e-1cea-4114-879d-f17b3a82e2e4;43.288364, 5.4666367;Voie 2 / passerelle;OK;0.0;;2011-09-01T00:00:00
ascenseur - Quai 1;7bb284a4-14cc-48c2-a4ac-b0a5c7cfcf81;49.811764, 4.7429605;Voie 2 / Passerelle;OK;0.0;;2010-06-01T00:00:00
ascenseur - quai N°1 (ERP);cee9c428-7a56-404b-a507-687c6664bab4;50.37207, 3.0902784;Voies 5 et 7 / Souterrain;OK;0.0;;2015-09-01T00:00:00
ASC.PMR 3551 BV;d8bbbdb6-1cc2-4218-bb75-f5fc728f7655;;Parking côté hall / passerelle;OK;;;
ascenseur - quai 2;39e73a75-1a95-4423-9154-41d7aea9bf17;;Voies B et C / souterrain;OK;0.0;;2019-09-12T00:00:00
ASC.PMR 2506 Quai A Voie 11/12;592e9a77-d5e5-4700-a429-305985cc5892;;Voies 11 et 12 / souterrain;OK;;;
ASC.PMR 1041 Voie A/B;f21f6e43-c118-462a-b695-d8239bf16769;;Voies A et B / gare routière;OK;;;
Ascenseur - BV- Accès quais voyageurs côté gare;501f3e05-8067-4b54-9897-5fb8ba6564f9;;Parvis et voie B / Passerelle;OK;0.0;;2005-06-15T00:00:00
ascenseur - quai 2;82cce265-5040-43ac-8dcc-e6f311b29be3;44.329666, -0.9462276;Voie 2 / Passerelle;OK;0.0;;2013-07-30T00:00:00
ASC.PMR 1000 HALL / BV;b4f4efc6-5525-443b-8fb1-2ad534fb5687;;Hall / passerelle;OK;;;
ascenseur - quai 1;36807c6c-e6c6-4023-bb65-58127291c5c7;43.679672, 4.1311855;Voie 1 / souterrain;OK;0.0;;2014-09-12T00:00:00
ASC.PMR 1042 Voie C/D;f21f6e43-c118-462a-b695-d8239bf16769;;Voies C et D / souterrain;OK;;;
ascenseur - Quai 3;bd3a55c7-b622-414f-907b-ce379d351038;48.689648, 6.1738305;Souterrain / Voies 4/5;OK;0.0;;2007-01-01T00:00:00
ASC.PMR 3063 Voie 2;d50239eb-b78d-4c5c-986a-7c225667ec62;;Voie 2 direction Paris / passerelle;OK;;;
ASC.PMR 5214 Quai 1 Voie 1 (Coté Parking);aafe5e7d-56d2-440a-b0b4-da9a458dc8ec;;Quai 1 Voie 1 (Coté Parking);OK;;;
ASC.PMR 2023 Quai A Voie 1;b75eb83a-5311-4588-aed6-72de16308e96;;Voie 1 / souterrain;OK;;;
ASC.PMR 3042 Quai 2;6a735c15-b2bb-4769-aa4c-5d187ac9383f;;Voie 1 / passerelle;OK;;;
ASC.PMR 4542 QUAI B;67cd9ba4-dd5a-4a26-8556-3ab4ec297572;;Voie 1;OK;;;
Ascenseur - Voie 2/Souterrain;80f0b18a-7e1d-43b8-a257-7090c43c66f8;48.605423, 1.6818533;Voie 2 / souterrain;OK;0.0;;2013-01-01T00:00:00
ASC.PMR 3555 QUAI 1;2f64ffe6-8d63-4af6-85d8-c59535969dc4;;Voie 1 / souterrain;OK;;;
ascenseur - Passerelle / Quai 3;9a48b3c4-0910-473a-8fcc-b445dddf27a3;45.57082, 5.9205127;Voies D et E / Passerelle;KO;0.0;;2015-12-15T00:00:00
ASC.PMR 3200 Souterrain;684f804d-1352-4396-8b70-a2a27fbf4283;;Passage Souterrain accès DAILLY;OK;;;
ASC.PMR 1063 Quai 3;c610489b-88bb-4641-8298-b64a9e655737;;Voies E et F / souterrain;OK;;;
ascenseur - Voies IJ;d47727ab-a07f-4835-a53f-6961a9123387;45.83612, 1.2679172;Voies I et J / hall;OK;0.0;;2013-12-05T00:00:00
Ascenseur - 15 asc Hall 3 Belcier droite - côté voies;72a31fc3-3b7f-4e0d-823f-ce3a878505de;;Hall 3 Belcier / Parking niveau -1 et niveau 1, 2, 3, 4,;OK;0.0;;2017-05-01T00:00:00
Ascenseur - Quai central;6ea38457-50bd-4bea-b8e3-fd36084f019f;;Voies 1 et 2 / souterrain;KO;0.0;;2014-03-01T00:00:00
ASC.PMR 3008 Quai E/F;12eb1de8-0c57-43ce-a934-3bf389b35e38;;Voies E et F / souterrain;OK;;;
Ascenseur - Hall 1;72a31fc3-3b7f-4e0d-823f-ce3a878505de;;Parking dépose minute / Parvis - rue;OK;0.0;;2024-05-02T00:00:00
ascenseur - BV;9400faec-9ccf-4e37-ae25-dc399e0f7191;49.275402, 1.2245642;Parvis / Passerelle;OK;0.0;;2016-10-12T00:00:00
Ascenseur - 01 ascenseur voie 2 bordeaux;97cc4f72-785b-4e21-9013-f0eb50b811c1;;Voie 2 / passerelle;OK;0.0;;2018-01-01T00:00:00
Ascenseur - Quai TER Voie 2;e01debd3-2d9b-4cff-bb34-7ac5dd96ec7d;44.991512, 4.978847;Voie 2 / Hall (+1);OK;0.0;;2001-01-01T00:00:00
ascenseur - quai voie 2;a737e33a-ceb0-48fe-86b7-af94f8b2f44a;45.906876, 4.7783256;Voie 2 / Passerelle;OK;0.0;;2017-01-31T00:00:00
Ascenseur - Accès quai D;020b453e-87ed-4726-a872-697a6524ede0;;Voies B et C / souterrain;OK;0.0;;2016-05-01T00:00:00
ASC.PMR 2204 Gare routière;6fc317ff-4a94-4407-b9bb-dd4f6bec000e;;Accès gare routière sortie parvis 11 novembre;KO;;;
ascenseur - quai 2;0640b5cc-95c3-4814-8e46-ad7860cd28cf;43.483974, -0.7673188;Voie 2 / souterrain;OK;0.0;;2012-01-01T00:00:00
Ascenseur - Voie B-C côté Sud (AIG 50);60906013-799a-4fc3-b586-6675ad30cd57;;Voies B et C / Souterrain Sud;OK;0.0;;2003-03-01T00:00:00
ASC.PMR 1003 ASH4;69a5f787-dba4-4e73-92e2-b03d8aed840b;;Cour du Havre / passerelle supérieure;KO;;;
Ascenseur - quai 1;0f6c6a8a-4315-43b3-a360-19b414bd6937;;Voie A / Souterrain;OK;0.0;;2022-11-28T00:00:00
ASC.PMR 3026 P. COURBEVOIE;01e5fd69-f87c-4a5c-95c4-7367ed7ff242;;Parvis accès Courbevoie;OK;;;
Ascenseur - Voie 3/Passerelle;40cc96f5-8462-47c7-8edc-1bbe86d16517;47.58627, 1.323359;Voie 3 / Passerelle;KO;0.0;;2015-06-11T00:00:00
ASC.PMR 2019 Quai 2;9af0196e-de76-4609-9972-aeb7457a42c0;;Voies 1 et 2B / souterrain;OK;;;
Ascenseur - Parking ville côté Nord;e2bd6be2-549f-4e99-bcc8-1688dd2d8b3f;47.68093, -3.004161;Parking ville côté Nord / Passerelle;OK;0.0;;2021-06-11T00:00:00
Ascenseur - voie AB Pompidou;f8df288c-2b8b-4e2b-9cef-5cfcd7028bf4;45.76056, 4.8607297;Voies A et B / Hall 2;OK;0.0;;2022-11-09T00:00:00
ASC.PMR 4544 Quai B;db7834bd-43d7-492a-bd5a-293dec51ca6f;;Voie 2 côté Invalides;OK;;;
ASC.PMR 1044 Voie C/D;f21f6e43-c118-462a-b695-d8239bf16769;;Voies C et D / souterrain;OK;;;
ascenseur - quai, voie 2;50f4287f-abe7-440f-a711-c5e15cac02cd;48.766537, 0.6205035;Voie 2 / souterrain;OK;0.0;;2016-10-05T00:00:00
Ascenseur - quai 2 voie  B/C;dca4abf9-c5bd-4fc4-a7b4-0443e6787bac;49.253185, 6.16392;Voies B et C / souterrain;OK;0.0;;2021-12-01T00:00:00
ASC.PMR 4553 ASC6 Quai 44-45;72a0f993-451e-4b5a-bb32-d162e42906ce;;Voies 44 et 45 / souterrain nord;OK;;;
ascenseur - Passage souterrain quai 2;8c1b4934-c835-49f5-bfaa-1ec55cbdbd7c;50.286816, 2.7817838;Voies 2 et 5 / souterrain;OK;0.0;;2007-01-01T00:00:00
Ascenseur - Ascenseur Prince;002271ab-2ed4-4eaa-aed1-d1db7a81f230;;Gare souterraine / Grandes lignes;OK;0.0;;2023-09-01T00:00:00
ascenseur - quai D;66c74bc9-9f00-4033-b2e8-849bc54c8363;;Voie D / Passerelle;OK;0.0;;2019-12-02T00:00:00
Ascenseur - Quai 1;04d4359a-0422-4f85-be8b-4b13dc00ae01;;Voie A et Parvis / Passerelle;OK;0.0;;2019-12-11T00:00:00
ascenseur - voies 4/5;ce2b2a5a-aa75-4d42-bf45-4a4ab0a8929d;48.87061, 2.7829347;Voies 4 et 5 / hall Nord;OK;0.0;;2011-01-01T00:00:00
Ascenseur - Quai voie VAB;28efb063-7370-422c-8a6c-b9def7a8be8c;;Voie 4 / passerelle haute;OK;0.0;;2019-10-28T00:00:00
ascenseur - Quai 4 sout Sud;1256d5fe-bbc3-416b-9bf5-184b0b84b2a3;;Voies 6 et 7 / Souterrain Sud;OK;0.0;;1992-01-01T00:00:00
ascenseur - Quai E - Paris;e26021bf-541a-4e9e-8e74-66f59ce9bc60;48.102905, -1.6719474;Voies 7 et 8 Paris souterrain / Hall départ;OK;0.0;;2017-08-01T00:00:00
ascenseur - quai 2 (voie 4);04bf58e5-da34-46ad-b55c-5fbe3986278b;49.21407, 3.9944818;Voie 4 / Passerelle;OK;0.0;;2007-01-01T00:00:00
ASC.PMR 4517 Quai A;b4524294-b039-4ac1-8dce-730d1d90132b;;Voies 2 et 4 / salle d'échange;OK;;;
ascenseur - quai voie 2;30c29ea8-dd83-4b34-a248-01cbea27ffdd;49.070847, -0.07345528;Voie 2 / Passerelle;OK;0.0;;2015-10-01T00:00:00
Ascenseur - Quai V1 BV n°11690720;b73b5839-3e0b-4c18-9854-757c6b4cc267;;Hall / souterrain;OK;0.0;;2023-05-15T00:00:00
Ascenseur - QUAI VOIE 1 (Coté BV);86a82701-5515-49d7-9552-6aea4d631d31;;coté batiment voyageurs / passerelle;OK;0.0;;2023-03-30T00:00:00
ascenseur - Hall;265248a2-9a80-496c-8286-9085189a9a30;47.307377, 5.95332;Hall / Voies 4, 6 et 8;OK;0.0;;2011-12-01T00:00:00
ASC.PMR 4508 Quai EF;b86ef9b5-cf80-4bfc-a95a-e7c4e74430cf;;Quai E et F / hall;KO;;;
ascenseur - voie 1;4bfef43f-ee71-4f8c-8ea9-95d4953ce809;45.138535, 0.5223735;Voie 1 / passerelle;OK;0.0;;2011-12-01T00:00:00
Ascenseur - Quai Voie 2 - N° mainteneur : 1287159;763ac8a2-292b-4cc2-8442-cafa496051ee;43.118595, 6.0100284;Voie 2 / passerelle;OK;0.0;;2013-01-01T00:00:00
ASC.PMR 4550 ASC9 Sortie Mairie - BV;72a0f993-451e-4b5a-bb32-d162e42906ce;;Hall sortie Mairie;OK;;;
ASC.PMR 5010 Voie 1/1B;9b623721-7d43-430a-b83b-cb72ee7a20b6;;Voies 2 et 2bis direction Melun / passerelle;OK;;;
ascenseur - Quai C;764fac78-22f5-475d-9d05-1dafab33b447;;QUAI C;OK;0.0;;2019-12-19T00:00:00
ASC.PMR 2001 Voie 21-23;6dd2d30c-23e9-4da1-8719-1d78758c65c3;;Voies 21 et 23 / hall;OK;;;
ascenseur - Hall Barcelone;764fac78-22f5-475d-9d05-1dafab33b447;;Hall Barcelone;OK;0.0;;2019-12-19T00:00:00
Ascenseur - Quai 3;dd738eff-6705-4a38-aa3e-4b61045b8d78;;Voies D, E et F / Souterrain;OK;0.0;;2021-07-21T00:00:00
ASC.PMR 2503 Quai 2 Voie 1/M;7a4c8971-455e-4d42-a3c7-5d0bd173a409;;Voies 1 et M / souterrain;OK;;;
Ascenseur - Quai 2 Sud Voies 2/3;876acd6d-c67b-47fd-95ee-f2b13b33508e;43.611366, 1.4540709;QUAI 2;OK;0.0;;2016-06-01T00:00:00
ascenseur - passerelle vers souterrain;3edd6acd-6c12-49e3-ab19-09ab9bece048;50.901634, 1.811966;Voie 4 / Passerelle;OK;0.0;;2011-08-24T00:00:00
ascenseur - ASC N°2 nord panoramique duplex;e26021bf-541a-4e9e-8e74-66f59ce9bc60;;salle d'échange / salon grand voyageur;OK;0.0;;
Ascenseur - 20099811 Voie 1;12ba42ee-529a-4949-8b93-7a88e856d3ba;;Voie 1 / souterrain;OK;0.0;;2023-09-01T00:00:00
Ascenseur - quai voie 1/1 Bis;86178306-6b69-4471-8286-48bb859a50c1;;Voies 1 et 1bis / souterrain;OK;0.0;;2023-11-16T00:00:00
Ascenseur - AS14 Transmanche voies 3/4;70835097-e1ff-4138-86e1-4758ed173ed6;48.881546, 2.3548326;Hall 2 - Niv+1 - Terminal Transmanche / Hall 2 - Niv0 - Voies 3 et 4;OK;0.0;;1997-01-01T00:00:00
ASC.PMR 2036 Quai 2 Voie 1;17814661-08fb-4c17-8d6d-7c5b41d94034;;Voie 1 / souterrain;OK;;;
ASC.PMR 4212 ASC.2 Voie 2/4;1b5976cd-d539-4dd9-9ebf-80735cb42e25;;Voies 2 et 4;OK;;;
ASC.PMR 3521 Quai 1;1b862b71-cdef-4b4e-93a7-6ce96bfc95fa;;Voie 1B / hall;OK;;;
ascenseur - 2eme quai;a0004f4c-a857-4958-bb74-f7be29026b65;43.720844, -1.0494293;Voie 1 et Voie 3 / souterrain;OK;0.0;;2010-10-01T00:00:00
ASC.PMR 1023 Voie A;aa319377-4fcd-48d3-9489-337cde4574d6;;Voie A / souterrain;OK;;;
ASC.PMR 2613 Voie 2;50393778-bac8-4cf3-8cf8-c29278c8c958;;Quai 2;OK;;;
ASC.PMR 1053 Voie A/B;bdbf7164-f55b-4243-bd37-a6c2bef2c626;;Voies A et B / souterrain Bercheres;OK;;;
Ascenseur - hall 2 - quai 4-5;db3c1d28-2b95-43df-ae9f-5418a778abe0;48.83902, 2.318859;Milieu des voies 4 et 5 / Hall 2;KO;0.0;;1995-01-01T00:00:00
ascenseur - quai voie 1;ae958902-2c15-489c-98c7-d8e066e41d2a;45.56016, 5.449963;Voie A / passerelle;OK;0.0;;2018-01-09T00:00:00
ASC.PMR 4080 Q1 V2;858136c4-577a-4acf-889e-f5d1c80fee36;;Voie 2 côté hall;OK;;;
ASC.PMR 4613 Quai B côté BV;b24b827d-3526-4db8-ba24-6634478771a4;;Quai B côté BV;OK;;;
Ascenseur - quai 2  n°10928126;a121239c-108a-4bfa-8254-069b73dbe619;;Voies B et C / passerelle;OK;0.0;;2017-01-01T00:00:00
Ascenseur - Gare de BERCY Hall Voyageurs - A10;adceab5e-d9bf-4cdc-8c13-66902b313a7c;48.838886, 2.382607;Intérieur Gare de Bercy - Hall / Salle d'attente;OK;0.0;;1978-01-01T00:00:00
Ascenseur - Hall exploitation;e01debd3-2d9b-4cff-bb34-7ac5dd96ec7d;44.992817, 4.978519;Gare Routière - Hall (0) / Hall (+1);OK;0.0;;2001-01-01T00:00:00
Ascenseur - Hall Départ côté Marseille voie 4 (11304420);6d950f75-8a47-4c30-b0ca-66f074ad3496;43.921776, 4.785376;Hall pavillon départs coté Marseille / Mezzanine  départs;OK;0.0;;2020-12-03T00:00:00
ASC.PMR 3020 P. ASNIERES;01e5fd69-f87c-4a5c-95c4-7367ed7ff242;;Parvis accès Asnières;OK;;;
Ascenseur - quai voie 2;a99c4503-7fa0-4176-b908-74f5e50cba32;50.521996, 1.7744601;Voie 2 / Passerelle;OK;0.0;;2012-06-01T00:00:00
ascenseur - Hall Sud coté Ouest;77474ee2-1c30-4740-a579-b52c2bc74d89;;Hall Sud coté Ouest / mezzanine;OK;0.0;;2020-11-01T00:00:00
ascenseur - Voie B;f25faf29-34ab-46e0-9d41-a22d8360762e;48.422836, 7.638246;Voie B / Souterrain;OK;0.0;;2009-01-01T00:00:00
Ascenseur - quai 2 voies C/D;7be8e806-878f-4cd0-8a4b-0a068b85c474;;Voies C et D / Souterrain;OK;0.0;;2021-12-15T00:00:00
ASC.PMR 3533 Quai 24;be6f1fe7-371d-4ccd-bb43-8cdd39cf0804;;Voies C et E / souterrain;KO;;;
ASC.PMR 5015 QUAI 2;6c4f7184-215c-4eca-aaf4-92f938622d99;;Quai 2;KO;;;
ASC.PMR 2045 QUAI 1;bc9268a6-acb1-451e-afe7-395a5ec6dae5;;Voie 1;OK;;;
ascenseur - QUAI 4;71e30c0e-9c3a-449a-9743-44a85d48427e;42.696274, 2.8789353;Voie F / souterrain;OK;0.0;;2009-11-25T00:00:00
